85329,Abbottabad,NULL,NULL
85330,Adilpur,NULL,NULL
85331,Ahmedpur East,NULL,NULL
85332,Ahmadpur Sial,NULL,NULL
85333,Akora,NULL,NULL
85334,Alik Ghund,NULL,NULL
85335,Alipur Chatha,NULL,NULL
85336,Alizai,NULL,NULL
85337,Aman Garh,NULL,NULL
85338,Amirabad,NULL,NULL
85339,Arifwala,NULL,NULL
85340,Ashanagro Koto,NULL,NULL
85341,Attock Tehsil,NULL,NULL
85342,Awārān District,NULL,NULL
85343,Baddomalhi,NULL,NULL
85344,Badin,NULL,NULL
85345,Baffa,NULL,NULL
85346,Bagarji,NULL,NULL
85347,Bahawalnagar,NULL,NULL
85348,Bahawalpur,NULL,NULL
85349,Bakhri Ahmad Khan,NULL,NULL
85350,Bandhi,NULL,NULL
85351,Bannu,NULL,NULL
85352,Barishal,NULL,NULL
85353,Barkhan,NULL,NULL
85354,Basirpur,NULL,NULL
85355,Basti Dosa,NULL,NULL
85356,Bat Khela,NULL,NULL
85357,Battagram,NULL,NULL
85358,Battagram District,NULL,NULL
85359,Begowala,NULL,NULL
85360,Bela,NULL,NULL
85361,Berani,NULL,NULL
85362,Bhag,NULL,NULL
85363,Bhakkar,NULL,NULL
85364,Bhalwal,NULL,NULL
85365,Bhan,NULL,NULL
85366,Bhawana,NULL,NULL
85367,Bhera,NULL,NULL
85368,Bhimbar,NULL,NULL
85369,Bhiria,NULL,NULL
85370,Bhit Shah,NULL,NULL
85371,Bhopalwala,NULL,NULL
85372,Bozdar Wada,NULL,NULL
85373,Bulri,NULL,NULL
85374,Buner District,NULL,NULL
85375,Bārkhān District,NULL,NULL
85376,Burewala,NULL,NULL
85377,Chak,NULL,NULL
85378,Chak Azam Saffo,NULL,NULL
85380,Chak Jhumra,NULL,NULL
85381,Chak One Hundred Twenty Nine Left,NULL,NULL
85382,Chak Thirty-one -Eleven Left,NULL,NULL
85383,Chak Two Hundred Forty-Nine TDA,NULL,NULL
85384,Chakwal,NULL,NULL
85385,Chaman,NULL,NULL
85386,Chamber,NULL,NULL
85387,Charsadda,NULL,NULL
85388,Chawinda,NULL,NULL
85389,Rabwah,NULL,NULL
85390,Cherat Cantonement,NULL,NULL
85391,Chhor,NULL,NULL
85392,Chichawatni,NULL,NULL
85393,Chiniot,NULL,NULL
85394,Chishtian,NULL,NULL
85395,Chitral,NULL,NULL
85396,Choa Saidanshah,NULL,NULL
85397,Chowki Jamali,NULL,NULL
85399,Chuhar Jamali,NULL,NULL
